Nation,Name,Club,Description,Birth Date,Website,Facebook,Death Date,Full Name,Height,Wikipedia,Sailor ID,email hash (gravatar md5),LinkedIn,Real Name,Instagram,Twitter,Endomondo
BEL,Geert de Pauw,,,,,,,,,,,,,,,,
BEL,Gennart Genevieve,,,,,,,,,,,,,,,,
BEL,Gilbert Joskin,,,,,,,,,,,,,,,,
BEL,Harald Van Exem,,,,,,,,,,,,,,,,
BEL,Jan Van Hemeldonck,,,,,,,,,,,,,,,,
BEL,Jean Gorremans,,,,,,,,,,,,,,,,
BEL,Jean-Emmanuel Gorremans,,,,,,,,,,,,,,,,
BEL,Jean-Paul Lozouet,,,,,,,,,,,,,,,,
BEL,Jeoren Belis,,,,,,,,,,,,,,,,
BEL,Jeroen Smeets,,,,,,,,,,,,,,,,
BEL,Jourquin Koen,,,,,,,,,,,,,,,,
BEL,Karin Hårding,,,,,,,,,,,,,,,,
BEL,Kim Van Assche,,,,,,,,,,,,,,,,
BEL,Koen Willems,,,,,,,,,,,,,,,,
BEL,Lien Van Assche,,,,,,,,,,,,,,,,
BEL,Lionel Lambert,,,,,,,,,,,,,,,,
BEL,Lionel Lambert,,,,,,,,,,,1dc89820839d143abe190f692ee42415,,,,,
BEL,Lionel Lampert,,,,,,,,,,,,,,,,
BEL,Lotte Dewaelheyns,,,,,,,,,,,,,,,,
BEL,Luc Crets,,,,,,,,,,,,,,,,
BEL,Luc D'Herde,,,,,,,,,,,,,,,,
BEL,Luc Moentack,,,,,,,,,,,,,,,,
BEL,Marie-Pierre Gorremans,,,,,,,,,,,,,,,,
BEL,Marie-Pierre Hayette,,,,,,,,,,,,,,,,
BEL,Michael Teheux,,,,,,,,,,,,,,,,
BEL,Nicolas Schiepers,,,,,,,,,,,,,,,,
BEL,Olivier Kowal,,,,,,,,,,,,,,,,
BEL,Pascal Viaud,,,,,,,,,,,,,,,,
BEL,Paul Joskin,,,,,,,,,,,,,,,,
BEL,Philippe Vandersteen,,,,,,,,,,,,,,,,
BEL,Pierre Gorremans,,,,,,,,,,,,,,,,
BEL,Pierre Van de Poel,,,,,,,,,,,,,,,,
BEL,Pierre van der Poel,,,,,,,,,,,,,,,,
BEL,Pietr Van Loer,,,,,,,,,,,,,,,,
BEL,Sander Smeets,,,,,,,,,,,,,,,,
BEL,Steven Ferson,,,,,,,,,,,,,,,,
BEL,Stijn Oyen,,,,,,,,,,,,,,,,
BEL,Tessa Liebens,,,,,,,,,,,,,,,,
BEL,Théo Geeraerts,,,,,,,,,,,,,,,,
BEL,Toon Van Assche,,,,,,,,,,,,,,,,
BEL,Vincent Zimmermann,,,,,,,,,,,,,,,,
BEL,Vincent Ziommermann,,,,,,,,,,,,,,,,
BEL,Xavier Dobbelstein,,,,,,,,,,,,,,,,
BEL,Yannick Maheux,,,,,,,,,,,,,,,,
BER,Brett Wright,,,,,,,,,,,,,,,,
CAN,Adam Bookman,,,,,,,,,,,,,,,,
CAN,Adam Gesing,,,,,,,,,,,,,,,,
CAN,Adam Gooderham,,,,,,,,,,,,,,,,
CAN,Adam J Gesing,,,,,,,,,,,,,,,,
CAN,Adam Schell,,,,,,,,,,,,,,,,
CAN,Adrien Rootsaert,,,,,,,,,,,,,,,,
CAN,Alain Molimard,,,,,,,,,,,,,,,,
CAN,Alec Francis,,,,,,,,,,,,,,,,
CAN,Alex Byczko,,,,,,,,,,,,,,,,
CAN,Alex Taylor,,,,,,,,,,,,,,,,
CAN,Alistair Boyle,,,,,,,,,,,,,,,,
CAN,Andrew Fowler,,,,,,,,,,,,,,,,
CAN,Andrew Gesing,,,,,,,,,,,,,,,,
CAN,Andrew Gesling,,,,,,,,,,,,,,,,
CAN,Andriy Kanyuka,,,,,,,,,,,,,,,,
CAN,Angus Ross,,,,,,,,,,,,,,,,
CAN,Barrett Rhodes,,,,,,,,,,,,,,,,
CAN,Bernard Péro,,,,,,,,,,,,,,,,
CAN,Bob Turcke,,,,,,,,,,,,,,,,
CAN,Brendan Trainor,,,,,,,,,,,,,,,,
CAN,Brenden Trainor,,,,,,,,,,,,,,,,
CAN,Bruce Clifford,,,,,,,,,,,,,,,,
CAN,Carol Cote,,,,,,,,,,,,,,,,
CAN,Caroline Bougie,,,,,,,,,,,,,,,,
CAN,Chris Edwards,,,,,,,,,,,,,,,,
CAN,Chris Garrard,,,,,,,,,,,,,,,,
CAN,Chris Gillies,,,,,,,,,,,,,,,,
CAN,Christian DeChamplain,,,,,,,,,,,,,,,,
CAN,Christian Voyer,,,,,,,,,,,,,,,,
CAN,Chuck Hanson,,,,,,,,,,,,,,,,
CAN,Clarissa Bush,,,,,,,,,,,,,,,,
CAN,Conor Morrison,,,,,,,,,,,,,,,,
CAN,Cynthia Des Brisay,,,,,,,,,,,,,,,,
CAN,Danielle Boyd,,,,,,,,,,,,,,,,
CAN,Dave Bradly,,,,,,,,,,,,,,,,
CAN,Dave Phillips,,,,,,,,,,,,,,,,
CAN,Dave Thomas,,,,,,,,,,,,,,,,
CAN,David Adams,,,,,,,,,,,,,,,,
CAN,David Brown,,,,,,,,,,,,,,,,
CAN,David Cross,,,,,,,,,,,,,,,,
CAN,David Friberg,,,,,,,,,,,,,,,,
CAN,David Mincoff,,,,,,,,,,,,,,,,
CAN,Dean Rootsaert,,,,,,,,,,,,,,,,
CAN,Devlin Lovshin,Nepean Sailing Club – Ottawa,,,,,,,,,,,,,,,
CAN,Don McNeil,,,,,,,,,,,,,,,,
CAN,Drake Morrison,,,,,,,,,,,,,,,,
CAN,Eric Dumouchel,,,,,,,,,,,,,,,,
CAN,Eric Tabardel,,,,,,,,,,,,,,,,
CAN,Ethan Brown,,,,,,,,,,,,,,,,
CAN,Evan Jennings,,,,,,,,,,,,,,,,
CAN,Evania Lovshin,Nepean Sailing Club – Ottawa,,,,,,,,,,,,,,,
CAN,Florence Boyd,,,,,,,,,,,,,,,,
CAN,François Bertrand,,,,,,,,,,,,,,,,
CAN,François-Xavier Bertrand,,,,,,,,,,,,,,,,
CAN,Frank McLauchlin,,,,,,,,,,,,,,,,
CAN,Geoff Schaefer,,,,,,,,,,,,,,,,
CAN,Gord McIlquham,,,1961-01-09,,,,,,https://en.wikipedia.org/wiki/Gord_McIlquham,,,,,,,
CAN,Hannah Abush,,,,,,,,,,,,,,,,
CAN,Hugh Morrin,,,,,,,,,,,,,,,,
CAN,Iain Torrie,,,,,,,,,,,,,,,,
CAN,Ian Eskritt,,,,,,,,,,,,,,,,
CAN,Ian Marentette,,,,,,,,,,,,,,,,
CAN,Ian Plumbley,,,,,,,,,,,,,,,,
CAN,Ian Torrie,,,,,,,,,,,,,,,,
CAN,Isabelle Beaudoin,,,,,,,,,,,,,,,,
CAN,Jacob Livingstone,,,,,,,,,,,,,,,,
CAN,James Cruickshank,,,,,,,,,,,,,,,,
CAN,James R. Brown,,,,,692226945,,,,,,,,,,,
CAN,Jeff Boyd,,,,,,,,,,,ca30707cab4e9f585f9a8ec8de5770ba,,,,,
CAN,Jim Dingle,,,,,,,,,,,,,,,,
CAN,Jim MacLachlan,,,,,,,,,,,,,,,,
CAN,Joel Voyer,,,,,,,,,,,,,,,,
CAN,John Fracisco,,,,,,,,,,,,,,,,
CAN,John Hayley,,,,,,,,,,,,,,,,
CAN,Joshua Abush,,,,,,,,,,,,,,,,
CAN,Julian Pearson,,,,,,,,,,,,,,,,
CAN,Julie Giguere,,,,,,,,,,,,,,,,
CAN,Justin Kitney,,,,,,,,,,,,,,,,
CAN,Karl Oswald,,,,,,,,,,,,,,,,
CAN,Kevin Powick,,,,,,,,,,,,,,,,
CAN,Kevin Schultz,,,,,,,,,,,,,,,,
CAN,Kevin Shulz,,,,,,,,,,,,,,,,
CAN,Kingsley Fairbridge,,,,,,,,,,,,,,,,
CAN,Kyber Lovshin,Nepean Sailing Club – Ottawa,,,,,,,,,,,,,,,
CAN,Leszek Nowosielski,,,,,,,,,,,,,,,,
CAN,Luca Manning,,,,,,,,,,,,,,,,
CAN,Luke Strickland,,,,,,,,,,,,,,,,
CAN,Malcolm MacGillivray,,,,,,,,,,,,,,,,
CAN,Malcolm McHattie,,,,,,,,,,,,,,,,
CAN,Marek Baliński,,,,,,,,,,,,,,,,
CAN,Margaret Hurley,,,,,,,,,,,,,,,,
CAN,Mario Angers,,,,,,,,,,,,,,,,
CAN,Marius Rzucidlo,,,,,,,,,,,,,,,,
CAN,Mark Ashby,,,,,,,,,,,,,,,,
CAN,Mark Phillips,,,,,,,,,,,,,,,,
CAN,Martin Hicks,,,,,,,,,,,,,,,,
CAN,Martin ten Hove,,,,,,,,,,,,,,,,
CAN,Matt Davidge,,,,,,,,,,,,,,,,
CAN,Michael Hoffman,,,,,,,,,,,,,,,,
CAN,Michael Wonnacott,,,,,,,,,,,,,,,,
CAN,Nathaniel Storer,,,,,,,,,,,,,,,,
CAN,Nick Ware,,,,,,,,,,,,,,,,
CAN,Nicolas Tosi,,,,,,,,,,,,,,,,
CAN,Nora Hoffer,,,,,,,,,,,,,,,,
CAN,Norm Rinne,,,,,,,,,,,,,,,,
CAN,Norman Saint-Cyr,,,,,,,,,,,,,,,,
CAN,Pat Ware,,,,,,,,,,,,,,,,
CAN,Paul Clifford,,,,,,,,,,,,,,,,
CAN,Paul Place,,,,,,,,,,,,,,,,
CAN,Penny Eastabrooke,,,,,,,,,,,,,,,,
CAN,Per Jacobsen,,,,,,,,,,,,,,,,
CAN,Pete Frey,,,,,,,,,,,,,,,,
CAN,Peter Grimm,,,,,,,,,,,,,,,,
CAN,Philip Cragg,,,,,,,,,,,,,,,,
CAN,Pierre Ferland,,,,,,,,,,,,,,,,
CAN,Pierre Saint-Cyr,,,,,,,,,,,,,,,,
CAN,Rachael Boyd,,,,,,,,,,,,,,,,
CAN,Rae-Anne Norwood,,,,,,,,,,,,,,,,
CAN,Renka Gesing,,,,,,,,,,,6f4b6e7f1cb765cbd19461adbbea9ae2,,,,,
CAN,Reto Corfu,,,,,,,,,,,,,,,,
CAN,Rich Mundell,Royal Victoria Yacht Club,,1968,,,,,,,,,,,,,
CAN,Richard McDonald,,,,,,,,,,,,,,,,
CAN,Rob Voyer,,,,,,,,,,,,,,,,
CAN,Robert Bartlewski,,,,,,,,,,,adab152273075fb40eb98dca7202f5c8,,,,,
CAN,Robert Tennant,,,,,,,,,,,,,,,,
CAN,Robert Terbrugge,,,,,,,,,,,,,,,,
CAN,Robert Voyer,,,,,,,,,,,,,,,,
CAN,Robin Brown,,,,,,,,,,,,,,,,
CAN,Ross Ernst,,,,,,,,,,,,,,,,
CAN,Sabina Bartlewska,,,,,,,,,,,,,,,,
CAN,Samuel Place,,,,,,,,,,,,,,,,
CAN,Scott Salter,,,,,,,,,,,,,,,,
CAN,Sean Wylie,,,,,,,,,,,,,,,,
CAN,Shona Moss Lovshin,Nepean Sailing Club - Ottawa,,,,,,,,,,,,,,,
CAN,Siqi Zhang,,,,,,,,,,,,,,,,
CAN,Stéphane Poirier-Defoy,,,,,,,,,,,,,,,,
CAN,Stephen Quick,,,,,,,,,,,,,,,,
CAN,Tereska Gesing,,,,,,,,,,,,,,,,
CAN,Terry Meade,,,,,,,,,,,,,,,,
CAN,Thomas Adolph,,,,,,,,,,,,,,,,
CAN,Thomas Storer,,,,,,,,,,,,,,,,
CAN,Tibor Kamon,,,,,,,,,,,,,,,,
CAN,Tim Willett,,,,,,,,,,,,,,,,
CAN,Todd Johnson,,,,,,,,,,,,,,,,
CAN,Tom Burnard,,,,,,,,,,,,,,,,
CAN,Tom Russell,,,,,,,,,,,,,,,,
CAN,Trevor Owen,,,,,,,,,,,,,,,,
CAN,Valerie Fuchshuber,,,,,,,,,,,,,,,,
CAN,William Penney,,,,,,,,,,,,,,,,
CAN,Winston Cummins,,,,,,,,,,,,,,,,
CAN,Yunus Akcor,,,,,,,,,,,,,,,,
CRO,Miro Cvitkovic,,,,,,,,,,,,,,,,
CRO,Nikola Fabijanić,,,,,,,,,,,,,,,,
CRO,Nina Popovac,,,,,,,,,,,,,,,,
CRO,Ratko Štibrić,,,,,,,,,,,,,,,,
CRO,Slobodan Velikić,,,,,,,,,,,,,,,,
CRO,Tomislav Jelic,,,,,,,,,,,,,,,,
CRO,Zoran Majstorović,,,,,,,,,,,,,,,,
DEN,Agnete Schlichtkrull,,,,,,,,,,,,,,,,
DEN,Allan Andreasen,,,,,,,,,,,,,,,,
DEN,Anders Friis,,,,,,,,,,,,,,,,
DEN,Anders Frimodt-Møller,,,,,,,,,,,,,,,,
DEN,Anders Høj Christensen,,,,,,,,,,,,,,,,
DEN,Anders Kaempe,,,,,,,,,,,,,,,,
DEN,Anders Pjetorsson,,,,,,,,,,,,,,,,
DEN,Anders Pjetursson,,,,,,,,,,,,,,,,
DEN,Anna Garver,,,,,,,,,,,,,,,,
DEN,Anne-Sophie Olesen,,,,,,,,,,,,,,,,
DEN,Bent Lundsager,,,,,,,,,,,,,,,,
DEN,Bo Petersen,,,,,bo.petersen.332,,,,,,,,,,,
DEN,Brian Sørensen,,,,,,,,,,,,,,,,
DEN,Carsten Petersen,,,,,,,,,,,,,,,,
DEN,Christian Limbrecht Mogensen,,,,,,,,,,,,,,,,
DEN,Christian Mogensen,,,,,,,,,,,,,,,,
DEN,Christian Seilman,,,,,,,,,,,,,,,,
DEN,Claus Jakobsen,,,,,,,,,,,,,,,,
DEN,Claus Pedersen,,,,,,,,,,,,,,,,
DEN,Claus Thybo,,,,,,,,,,,,,,,,
DEN,Dines Pontoppidan,,,,,,,,,,,,,,,,
DEN,Eli Schröder,,,,,,,,,,,,,,,,
DEN,Erik Laursen,,,,,,,,,,,,,,,,
DEN,Erik Lund,,,,,,,,,,,,,,,,
DEN,Erik Ørsted,,,,,,,,,,,,,,,,
DEN,Etienne Bourbeau,,,,,,,,,,,,,,,,
DEN,Fabiola Wonterghem,,,,,,,,,,,,,,,,
DEN,Finn Angelo,,,,,,,,,,,,,,,,
DEN,Finn Jensen,,,,,,,,,,,,,,,,
DEN,Flemming Sand,,,,,,,,,,,,,,,,
DEN,Frank Hellensberg,,,,,,,,,,,,,,,,
DEN,Gabriel Schønau Hansen,,,,,,,,,,,,gshansen,,,,
DEN,Hans Genefke Jørgensen,,,,,,,,,,,,,,,,
DEN,Hans Jørgen Riber,,,,,,,,,,,,,,,,
DEN,Hans Westh,,,,,,,,,,,,,,,,
DEN,Helge Rasmussen,,,,,,,,,,,,,,,,
DEN,Henrik Boye,,,,,,,,,,,,,,,,
DEN,Henrik Buhl,,,1966,,,,,,,,,,,,,
DEN,Henrik Thomasen,,,,,,,,,,,,,,,,
DEN,Jacob Bojsen-Møller,,,1956,,,,,,,,,,,,,
DEN,Jacob Ernst,,,,,,,,,,,,,,,,
DEN,Jacob Sonny Ernst,,,,,,,,,,,,,,,,
DEN,Jakob Karbo,,,,,,,,,,,,,,,,
DEN,Jakob Thomasen,,,,,,,,,,,,,,,,
DEN,Jan Eppers,,,,,,,,,,,,,,,,
DEN,Jan Feddersen,,,,,,,,,,,,,,,,
DEN,Jan Kjaerback,,,,,,,,,,,,,,,,
DEN,Jan Møller,,,,,,,,,,,,,,,,
DEN,Jan Saugmann,,,,,,,,,,,,,,,,
DEN,Jens Christensen,,,,,,,,,,,,,,,,
DEN,Jeppe Rasmussen,,,,,,,,,,,,,,,,
DEN,Jes Thomsen,Hellerup Sejlklub,,1950,,,,,,,,b55b97d1c3356c41d799ed56eecbfd62,,,,,
DEN,Jesper Bülow,,,,,,,,,,,,,,,,
DEN,Jesper Ernst,,,,,,,,,,,,,,,,
DEN,Jesper Høeg,,,,,,,,,,,,,,,,
DEN,Jesper Legind Larsen,,,,,,,,,,,,,,,,
DEN,Johan Mohr,,,,,,,,,,,,,,,,
DEN,Johan Pedersen,,,,,,,,,,,,,,,,
DEN,Johnny Rodholm,,,,,,,,,,,,,,,,
DEN,Jon Andersen,,,,,,,,,,,,,,,,
DEN,Jörg Hansen,,,,,,,,,,,,,,,,
DEN,Jørgen Bojsen-Møller,,,1954,,,,,,,,,,,,,
DEN,Jørgen Holm-Nielsen,,,,,,,,,,,,,,,,
DEN,Jørgen Schönherr,,,,,,,,,,,,,,,,
DEN,Kasper Agerbæk,,,,,,,,,,,,,,,,
DEN,Kenneth Eriksen,,,,,,,,,,,,,,,,
DEN,Ketil Johansen,,,,,,,,,,,,,,,,
DEN,Kim Riis,,,,,,,,,,,,,,,,
DEN,Kim Riis Pedersen,,,,,,,,,,,,,,,,
DEN,Kim Sørensen,,,,,,,,,,,,,,,,
DEN,Klaus Natorp,,,,,,,,,,,,,,,,
DEN,Klaus Søndergaard,,,,,,,,,,,,,,,,
DEN,Kristoffer Møllevang,,,,,,,,,,,,,,,,
DEN,Lars Bøjvad-Jansen,,,,,,,,,,,,,,,,
DEN,Lars Christensen,,,,,,,,,,,,,,,,
DEN,Lars Espersen,,,,,,,,,,,,,,,,
DEN,Lars Henrik Andersen,,,,,,,,,,,,,,,,
DEN,Lars Henrik Norre Andersen,,,,,,,,,,,,,,,,
DEN,Lars Laursen,,,,,,,,,,,,,,,,
DEN,Lars Lonberg,,,,,,,,,,,,,,,,
DEN,Lasse Andersen,,,,,,,,,,,,,,,,
DEN,Lasse Andrewartha,,,,,,,,,,,,,,,,
DEN,Lasse B. Andersen,,,,,,,,,,,,,,,,
DEN,Laurids E. Kirchoff,,,,,,,,,,,,,,,,
DEN,Laust Castor Lund,,,,,,,,,,,,,,,,
DEN,Mads Christiansen,,,,,,,,,,,,,,,,
DEN,Mark Orton,,,,,,,,,,,,,,,,
DEN,Mark Pedersen,,,,,,,,,,,,,,,,
DEN,Martin Frederichsen,,,,,,,,,,,,,,,,
DEN,Martin Olsen,,,,,,,,,,,,,,,,
DEN,Martin Thombs,,,,,,,,,,,,,,,,
DEN,Martin Thumle,,,,,,,,,,,,,,,,
DEN,Michael Bang,,,,,,,,,,,,,,,,
DEN,Michael Paulsen,,,,,,,,,,,,,,,,
DEN,Michael Staal,,,,,,,,,,,,,,,,
DEN,Michael Wonterghem,,,,,,,,,,,9a5d32f6a204f71912b8e42cb5e60843,,,,,
DEN,Mikkel Bardram,,,,,,,,,,,,,,,,
DEN,Mikkel Storgaard,,,,,,,,,,,,,,,,
DEN,Morten Andersen,,,,,,,,,,,,,,,,
DEN,Morten Jakobsen,,,,,,,,,,,,,,,,
DEN,Morten Ramsbæk,,,,,,,,,,,,,,,,
DEN,Morten Reinhold,,,,,,,,,,,,,,,,
DEN,Morten S. Andersen,,,,,,,,,,,,,,,,
DEN,Niels Alslev,,,,,,,,,,,,,,,,
DEN,Niels Flohr,,,,,,,,,,,,,,,,
DEN,Nikolaj Hoffmann Buhl,,,1992,,,,,,,,,,,,,
DEN,Ole Høyer,,,,,,,,,,,,,,,,
DEN,Paul Bert Elvstrøm,,,,,,,,,,,,,,,,
DEN,Per Strömman,,,,,,,,,,,,,,,,
DEN,Per Winther Larsen,,,,,,,,,,,,,,,,
DEN,Peter Høj Christensen,,,,,,,,,,,,,,,,
DEN,Peter Moller,,,,,,,,,,,,,,,,
DEN,Peter-Beck Mikkelsen,,,,,,,,,,,,,,,,
DEN,Philip Christiani,,,,,,,,,,,,,,,,
DEN,Poul Aunsholm,Hvidovre Sejlklub Suset,,1974-07-17,,,,,,,,,,,,,
DEN,Poul Strange,,,,,,,,,,,,,,,,
DEN,Rasmus Andersen,,,,,,,,,,,,,,,,
DEN,Rasmus Fredsted,,,,,,,,,,,,,,,,
DEN,Rasmus Norre Andersen,,,,,,,,,,,,,,,,
DEN,Russell Brice,,,,,,,,,,,,,,,,
DEN,Søren Andersen,,,,,,,,,,,,,,,,
DEN,Søren Asboe Jørgensen,,,,,,,,,,,,,,,,
DEN,Søren Hjorth,,,,,,,,,,,,,,,,
DEN,Søren Storm,,,,,,,,,,,,,,,,
DEN,Sten Skorsgaard,,,,,,,,,,,,,,,,
DEN,Sune Sissgaard,,,,,,,,,,,,,,,,
DEN,Svend-Erick Molbech,,,,,,,,,,,,,,,,
DEN,Sylvester Holm,,,,,,,,,,,,,,,,
DEN,Thomas D. Albrechtsen,,,,,,,,,,,,,,,,
DEN,Thomas Hartvig,,,,,,,,,,,,,,,,
DEN,Thomas Kildegård,,,,,,,,,,,,,,,,
DEN,Tom Bøjland,Kongelig Dansk Yachtklub,Currently A-class & Formula 18,1963,,,,,,,,,,,,,
DEN,Torben Andersen,,,,,,,,,,,,,,,,
DEN,Torben Pihl,,,,,,,,,,,,,,,,
DEN,Uffe Andersen,,,,,,,,,,,,,,,,
FIN,Aarne Kuusi,,,,,,,,,,,,,,,,
FIN,Akke Kuusela,,,,,,,,,,,,,,,,
FIN,Anders Spary,,,,,,,,,,,,,,,,
FIN,Antti Hänninen,,,,,,,,,,,,,,,,
FIN,Antti Jore,,,,,,,,,,,,,,,,
FIN,Ari Dillemuth,,,,,,,,,,,,,,,,
FIN,Ari Peltoniemi,,,,,,,,,,,,,,,,
FIN,Arno Parviainen,,,,,,,,,,,,,,,,
FIN,Atte Piiroinen,,,,,,,,,,,,,,,,
FIN,Bjorn Pundars,,,,,,,,,,,,,,,,
FIN,Björn Pundars,,,,,,,,,,,,,,,,
FIN,Clarence Holmstrom,,,,,,,,,,,,,,,,
FIN,Eero Niemitalo,,,,,,,,,,,,,,,,
FIN,Eino Laitinen,,,,,,,,,,,,,,,,
FIN,Esko Aho,,,,,,,,,,,,,,,,
FIN,Esko Vanninen,,,,,,,,,,,,,,,,
FIN,Hanno Narjus,,,,,,,,,,,,,,,,
FIN,Hannu Pöyry,,,,,,,,,,,,,,,,
FIN,Heikki Mustonen,,,,,,,,,,,85bda1b6eff8bb7fd8b11330dae350cd,,,,,
FIN,Henri Räty,,,,,,,,,,,,,,,,
FIN,Iiro Jaakonsaari,,,,,,,,,,,,,,,,
FIN,Ilkka Tuomi,,,,,,,,,,,,,,,,
FIN,Inka Näkkäläjärvi,,,,,,,,,,,,,,,,
FIN,Jan Ekman,,,,,,,,,,,,,,,,
FIN,Jan Lindahl,,,,,,,,,,,,,,,,
FIN,Jesper Broo,,,,,,,,,,,,,,,,
FIN,Joakim Westerlund,,,,,,,,,,,,,,,,
FIN,Joonas Björkman,,,,,,,,,,,,,,,,
FIN,Joonas Lindgren,,,,,,,,,,,,,,,,
FIN,Joonatan Hollmén,,,,,,,,,,,,,,,,
FIN,Jouni Liljander,,,,,,,,,,,,,,,,
FIN,Jouni Valli,,,,,,,,,,,,,,,,
FIN,Juha Pietilä,,,,,,,,,,,,,,,,
FIN,Juhani Heimsch,,,,,,,,,,,,,,,,
FIN,Jukka Hyvärinen,,,,,,,,,,,,,,,,
FIN,Jukka Lindfors,,,,,,,,,,,,,,,,
FIN,Jukka Saren,,,,,,,,,,,,,,,,
FIN,Jukka Suonpää,,,,,,,,,,,,,,,,
FIN,Jussi Hämäläinen,,,,,,,,,,,,,,,,
FIN,Jyri Wilén,,,,,,,,,,,,,,,,
FIN,Jyrki Kalavainen,,,,,,,,,,,,,,,,
FIN,Kalle Aaltonen,,,,,,,,,,,,,,,,
FIN,Kari Wilén,,,,,,,,,,,,,,,,
FIN,Kenneth Thélen,,,,,,,,,,,,,,,,
FIN,Lars Lagerström,,,,,,,,,,,,,,,,
FIN,Lauri Kääpä,,,,,,,,,,,,,,,,
FIN,Lauri Parviainen,,,,,,,,,,,,,,,,
FIN,Maria Kuosa,,,,,,,,,,,,,,,,
FIN,Markus Roschier,,,,,,,,,,,,,,,,
FIN,Markus Wikar,,,,,,,,,,,,,,,,
FIN,Matias Mikkola,,,,,,,,,,,,,,,,
FIN,Mats Spary,,,,,,,,,,,,,,,,
FIN,Matti Pentti,HSK - Helsingfors Segelklubb,,1963,,,,,,,,94935c39613f0b6aaa681cbf97bb4a48,,,,,
FIN,Miika Perden,,,,,,,,,,,,,,,,
FIN,Mika Pitkänen,,,,,,,,,,,,,,,,
FIN,Mikael Ervamaa,,,,,,,,,,,,,,,,
FIN,Mikael Maksimow,,,,,,,,,,,,,,,,
FIN,Mikael Nylund,,,,,,,,,,,,,,,,
FIN,Mikko Laine,,,,,,,,,,,,,,,,
FIN,Mikko Saarela,,,1958,,,,,,,,486fd6da2b5cf472aa6a6ae0529b096a,,,,,
FIN,Mikko Tähtinen,,,,,,,,,,,,,,,,
FIN,Nils Lagerström,,,,,,,,,,,,,,,,
FIN,Olli Karlsson,,,,,,,,,,,,,,,,
FIN,Oskari Jääskeläinen,,,,,,,,,,,,,,,,
FIN,Robin Gustafsson,,,,,,,,,,,,,,,,
FIN,Rosemarie Hartman,,,,,,,,,,,,,,,,
FIN,Rudi Biaudet,,,1953-03-03,,,,Ali Rudi Rainer Biaudet,180,,,,,,,,
FIN,Sanna Haapa,,,,,,,,,,,,,,,,
FIN,Seppo Kari,,,,,,,,,,,,,,,,
FIN,Sirkka Parviainen,,,,,,,,,,,,,,,,
FIN,Sofia Toroi,,,,,,,,,,,,,,,,
FIN,Tapani Elovirta,,,,,,,,,,,,,,,,
FIN,Taru Karttunen,,,,,,,,,,,,,,,,
FIN,Tatu Miettinen,,,,,,,,,,,,,,,,
FIN,Teddy Weber,,,,,,,,,,,,,,,,
FIN,Teemu Heljo,,,,,,,,,,,,,,,,
FIN,Tero Lahti,,,,,,,,,,,,,,,,
FIN,Thomas Castrén,,,,,,,,,,,,,,,,
FIN,Timo Kari,,,,,,,,,,,,,,,,
FIN,Timo Lipas,,,,,,,,,,,,,,,,
FIN,Timo Seppänen,,,,,,,,,,,,,,,,
FIN,Timo Seppelainen,,,,,,,,,,,,,,,,
FIN,Tom Seppänen,,,,,,,,,,,,,,,,
FIN,Tommy Andersson,,,,,,,,,,,,,,,,
FIN,Ton Nyman,,,,,,,,,,,,,,,,
FIN,Tuomas Ebeling,,,,,,,,,,,,,,,,
FIN,Ville Malm,,,,,,,,,,,,,,,,
FIN,Ville Tarvo,,,,,,,,,,,,,,,,
FRA,Adam Manuelle,,,,,,,,,,,,,,,,
FRA,Adrien Lafortune,,,,,,,,,,,,,,,,
FRA,Adrien Surbier,,,,,,,,,,,,,,,,
FRA,Alain Beltzung,,,,,,,,,,,,,,,,
FRA,Alain Champeau,,,,,,,,,,,,,,,,
FRA,Alain Chartier,,,,,,,,,,,,,,,,
FRA,Alain Claudel,,,,,,,,,,,,,,,,
FRA,Alain Conotte,,,,,,,,,,,,,,,,
FRA,Alain Cordonnier,,,,,,,,,,,,,,,,
FRA,Alain de Roux,,,,,,,,,,,,,,,,
FRA,Alain Doloy,,,,,,,,,,,,,,,,
FRA,Alain Dupuis,,,,,,,,,,,,,,,,
FRA,Alain Ferec,,,,,,,,,,,,,,,,
FRA,Alain Karadjian,,,,,,,,,,,,,,,,
FRA,Alain Lallemént,,,,,,,,,,,,,,,,
FRA,Alain Renoux,,,,,,,,,,,,,,,,
FRA,Alain Serias,,,,,,,,,,,,,,,,
FRA,Alain Seris,Cercle de Yachting à Voile Moselle,,1952,,,,,,,,0aa8ea39ab6ddbce89ac28645701490a,,,,,
FRA,Alexandre Boite,,,,,,,,,,,,,,,,
FRA,Alexandre Levet,,,,,,,,,,,,,,,,
FRA,Alexandre Morteau,,,,,,,,,,,,,,,,
FRA,Alexandre Sabatier,,,,,,,,,,,,,,,,
FRA,Alexis Preel,,,,,,,,,,,e9d2de444d4343dbc7fd6d4b9ae4cece,,,,,
FRA,Aline Martin,Y C ILE DE FRANCE,,1985,,,,,,,,,,,,,
FRA,Amaury Louin,,,,,,,,,,,,,,,,
FRA,Anaelle Couvreux,,,,,,,,,,,,,,,,
FRA,Anaïs Dechauffour,,,,,,,,,,,,,,,,
FRA,Anais Pain,,,,,,,,,,,,,,,,
FRA,Anna-Marie de Kergariou,,,,,,,,,,,,,,,,
FRA,Antoine de Nijs,,,,,,,,,,,,,,,,
FRA,Antoine Delagrange,,,,,,,,,,,,,,,,
