Nation,Name,Club,Description,Birth Date,Website,Facebook,Death Date,Full Name,Height,Wikipedia,Sailor ID
FRA,Adrien Surbier,,,,,,,,,,
FRA,Alain Beltzung,,,,,,,,,,
FRA,Alain Champeau,,,,,,,,,,
FRA,Alain Chartier,,,,,,,,,,
FRA,Alain Claudel,,,,,,,,,,
FRA,Alain Cordonnier,,,,,,,,,,
FRA,Alain de Roux,,,,,,,,,,
FRA,Alain Doloy,,,,,,,,,,
FRA,Alain Dupuis,,,,,,,,,,
FRA,Alain Ferec,,,,,,,,,,
FRA,Alain Karadjian,,,,,,,,,,
FRA,Alain Lallement,,,,,,,,,,
FRA,Alexandre Boite,,,,,,,,,,
FRA,Alexandre Morteau,,,,,,,,,,
FRA,Alexandre Sabatier,,,,,,,,,,
FRA,Alexis Preel,,,,,,,,,,
FRA,Aline Martin,,,,,,,,,,
FRA,Amaury Louin,,,,,,,,,,
FRA,Anaelle Couvreux,,,,,,,,,,
FRA,Anaïs Dechauffour,,,,,,,,,,
FRA,Anais Pain,,,,,,,,,,
FRA,Anna-Marie de Kergariou,,,,,,,,,,
FRA,Antoine de Nijs,,,,,,,,,,
FRA,Antoine Delagrange,,,,,,,,,,
FRA,Antoine Lafortune,,,,,,,,,,
FRA,Antoine Ratouis,,,,,,,,,,
FRA,Antoine Rimbert,,,,,,,,,,
FRA,Antoine Victor,,,,,,,,,,
FRA,Antonin Robe,,,,,,,,,,
FRA,Aristide Gasquet,,,,,,,,,,
FRA,Arnaud Dini,,,,,,,,,,
FRA,Aubin Doerenbecher,,,,,,,,,,
FRA,Augustin Doumic,,,,,,,,,,
FRA,Aurelie Plouviet,,,,,,,,,,
FRA,Aurelien Pierroz,,,,,,,,,,
FRA,Aymeric Essertel,,,,,,,,,,
FRA,Baptiste Galaup,,,,,,,,,,
FRA,Baptiste Lafortune,,,,,,,,,,
FRA,Barbara Dugrip,,,,,,,,,,
FRA,Basile Géron,,,,,,,,,,
FRA,Bastian le Morvan,,,,,,,,,,
FRA,Bastien Couvreux,,,,,,,,,,
FRA,Be Di Pede,,,,,,,,,,
FRA,Benjamin Roulant
FRA,Benoit Blaison,,,,,,,,,,
FRA,Benoit Dijoux,,,,,,,,,,
FRA,Benoit Morane,,,,,,,,,,
FRA,Benoît Valleteau de Moulliac,,,,,,,,,,
FRA,Bernard Blondy,,,,,,,,,,
FRA,Bernard Claudel,,,,,,,,,,
FRA,Bernard des Jamonières,,,,,,,,,,
FRA,Bernard Dugrip,,,,,,,,,,
FRA,Bernard Edel,,,,,,,,,,
FRA,Bernard le Guen,,,,,,,,,,
FRA,Bernard Oudard,,,,,,,,,,
FRA,Bernard Paternault,,,,,,,,,,
FRA,Bernard Peuch,,,,,,,,,,
FRA,Bertrand Commeil
FRA,Bertrand Lapeyre,,,,,,,,,,
FRA,Bertrand Molinier,,,,,,,,,,
FRA,Biche Olivier,,,,,,,,,,
FRA,Bruno Bonnet,,,,,,,,,,
FRA,Bruno Gallardo,,,,,,,,,,
FRA,Bruno Levesque,,,,,,,,,,
FRA,Bruno Vaniekaut,,,,,,,,,,
FRA,Camille Payrou,,,,,,,,,,
FRA,Carole Blanchard,,,,,,,,,,
FRA,Carole Blattner,,,,,,,,,,
FRA,Cedric Faucheux,,,,,,,,,,
FRA,Celine Aublet
FRA,Celine Chevet,,,,,,,,,,
FRA,Champenois Matthieu,,,,,,,,,,
FRA,Charles Briffoteaux,,,,,,,,,,
FRA,Charles Briffotevaux,,,,,,,,,,
FRA,Charles Courbonne,,,,,,,,,,
FRA,Charles de Kergariou,,,,,,,,,,
FRA,Charles Maire,,,,,,,,,,
FRA,Chartier Thomas,,,,,,,,,,
FRA,Chloe Lafortune,,,,,,,,,,
FRA,Christian Boillot,,,,,,,,,,
FRA,Christian Hauvette,,,,,,,,,,
FRA,Christian Lippi,,,,,,,,,,
FRA,Christian Marteneau
FRA,Christian Silvestre,Yacht Club de l’île de France - YCIF,,,,,,,,,
FRA,Christian Simonnot,,,,,,,,,,
FRA,Christian Vallaud,,,,,,,,,,
FRA,Christophe Bochu,,,,,,,,,,
FRA,Ciret-Lecosquer Madeg,,,,,,,,,,
FRA,Clair Carvallo,,,,,,,,,,
FRA,Claire Carvallo,,,,,,,,,,
FRA,Claude Got,,,,,,,,,,
FRA,Claude Lafortune
FRA,Claudel Phillips,,,,,,,,,,
FRA,Clement Card,,,,,,,,,,
FRA,D Doufier,,,,,,,,,,
FRA,Damien Trouillet,,,,,,,,,,
FRA,Damien Zucconi,,,,,,,,,,
FRA,Daniel Wagner,,,,,,,,,,
FRA,David de Monteil,,,,,,,,,,
FRA,David Denis,,,,,,,,,,
FRA,David Ravet,,,,,,,,,,
FRA,Delphine Markt,,,,,,,,,,
FRA,Denis Conversey
FRA,Denis Guiomard,,,,,,,,,,
FRA,Denis Oudard,,,,,,,,,,
FRA,Denis Vanier,,,,,,,,,,
FRA,Dominique Keraudren,,,,,,,,,,
FRA,Dominique Lambard,,,,,,,,,,
FRA,Dominique Rouanne,,,,,,,,,,
FRA,Dubruel Denis,,,,,,,,,,
FRA,Edith Castillon,,,,,,,,,,
FRA,Edouard Morin,,,,,,,,,,
FRA,Elisabeth Neidhart,,,,,,,,,,
FRA,Elsa Hardouin,,,,,,,,,,
FRA,Elsa le Formal,,,,,,,,,,
FRA,Emilie Guilleminot,,,,,,,,,,
FRA,Emmanuel Boyer,,,,,,,,,,
FRA,Emmanuel Mouclier,,,,,,,,,,
FRA,Eric Basset,,,,,,,,,,
FRA,Eric Brun,,,,,,,,,,
FRA,Eric Cuny,,,,,,,,,,
FRA,Eric Defroimont,,,,,,,,,,
FRA,Eric Jacta,,,,,,,,,,
FRA,Eric le Morvan,,,,,,,,,,
FRA,Eric Petit,,,,,,,,,,
FRA,Eric Quémard,,,,,,,,,,
FRA,Eric Schaedelin,,,,,,,,,,
FRA,Eric Valery,,,,,,,,,,
FRA,Erik Nigon,,,,,,,,,,
FRA,Erwan Grossmann,,,,,,,,,,
FRA,Etienne Boyer,,,,,,,,,,
FRA,Etienne Seguelas,,,,,,,,,,
FRA,Fabrice Bouton,,,,,,,,,,
FRA,Fabrice Toupet,,,,,,,,,,
FRA,Florent Duplouy,,,,,,,,,,
FRA,Florian Corbel,,,,,,,,,,
FRA,Florian Fort,,,,,,,,,,
FRA,Florian Pilleron,,,,,,,,,,
FRA,Francis Macheboeuf,,,,,,,,,,
FRA,Franck Agrapart,,,,,,,,,,
FRA,Franck Tudal,,,,,,,,,,
FRA,Francois Caminade,,,,,,,,,,
FRA,Francois Cornu,,,,,,,,,,
FRA,Francois Cuny,,,,,,,,,,
FRA,François de Lisle,,,,,,,,,,
FRA,Francois Fischer,,,,,,,,,,
FRA,Francois Gautier,,,,,,,,,,
FRA,Francois Lafortune,,,,,,,,,,
FRA,Francoise Mallet,,,,,,,,,,
FRA,Frede Roucayrol,,,,,,,,,,
FRA,Frederic Bouillet,,,,,,,,,,
FRA,Frederic Dalle,,,,,,,,,,
FRA,Frédéric Monnier,,,,,,,,,,
FRA,Frederic Roucayrol,,,,,,,,,,
FRA,Frédéric Veroul,,,,,,,,,,
FRA,Gabin Micoulot,,,,,,,,,,
FRA,Gabriel le Duc,,,,,,,,,,
FRA,Gaël Conversy,,,,,,,,,,
FRA,Gael le Mauguen,,,,,,,,,,
FRA,Gaetan Finet,,,,,,,,,,
FRA,Gautier Destombes,,,,,,,,,,
FRA,Gay Bottlaender,,,,,,,,,,
FRA,Geoffroy Riot,,,,,,,,,,
FRA,Georges le Troquer,,,,,,,,,,
FRA,Gerard Daugey,,,,,,,,,,
FRA,Gerard Tilly,,,,,,,,,,
FRA,Geraud Lafortune,Seine Port,,1984,,,,,,,
FRA,Ghislain de Lafforest,,,,,,,,,,
FRA,Gilbert Vinches,,,,,,,,,,
FRA,Gildas Sever,,,,,,,,,,
FRA,Gilles Bernon,,,,,,,,,,
FRA,Gilles Carvallo,,,,,,,,,,
FRA,Gilles Casanova,,,,,,,,,,
FRA,Gilles Chapelin,,,,,,,,,,
FRA,Gilles Lasnier,,,,,,,,,,
FRA,Goff le Maxime,,,,,,,,,,
FRA,Guillaume Barbier
FRA,Guillaume Barthélemy
FRA,Guillaume Brossillon,,,,,,,,,,
FRA,Guillaume de Kergariou,,,,,,,,,,
FRA,Guillaume Faugier,,,,,,,,,,
FRA,Guillaume Got,,,,,,,,,,
FRA,Guillaume Regnier,,,,,,,,,,
FRA,Guillaume Thery,,,,,,,,,,
FRA,Gwenola Tristan,,,,,,,,,,
FRA,Henry Chevet,,,,,,,,,,
FRA,Her Lecharpentier,,,,,,,,,,
FRA,Hervé Brillaud,,,,,,,,,,
FRA,Hervé Druart-Pariat,,,,,,,,,,
FRA,Hervé Wattine,,,,,,,,,,
FRA,Hugues Morane,,,,,,,,,,
FRA,Ivan Doerenbecher,,,,,,,,,,
FRA,Jacob Antoine Lortat,,,,,,,,,,
FRA,Jacques Bochu,,,,,,,,,,
FRA,Jacques Raguet,,,,,,,,,,
FRA,Jan Florian Faucheux,,,,,,,,,,
FRA,Jean Blache,,,,,,,,,,
FRA,Jean Charles Zimmowitch,,,,,,,,,,
FRA,Jean Claude Ancelot,,,,,,,,,,
FRA,Jean Jacques Veroul,,,,,,,,,,
FRA,Jean Marc Paquotte,,,,,,,,,,
FRA,Jean Marie Tournier,,,,,,,,,,
FRA,Jean Philippe Ducros,,,,,,,,,,
FRA,Jean Philippe Gastaud,,,,,,,,,,
FRA,Jean Philippe Hermieu,,,,,,,,,,
FRA,Jean Pierre Blache,,,,,,,,,,
FRA,Jean Pierre Noclain,,,,,,,,,,
FRA,Jean-Baptiste Dupont,,,,,,,,,,
FRA,Jean-Baptiste Kopecky,,,,,,,,,,
FRA,Jean-Charles Cadoret,,,,,,,,,,
FRA,Jean-Claude Ancelot,,,,,,,,,,
FRA,Jean-Claude Cornu,,,,,,,,,,
FRA,Jean-Claude Laplassotte,,,,,,,,,,
FRA,Jean-Guy Puissant,,,,,,,,,,
FRA,Jean-Luc Bapst,,,,,,,,,,
FRA,Jean-Luc Baptiste,,,,,,,,,,
FRA,Jean-Luc Muzellec,,,,,,,,,,
FRA,Jean-Marc Jungmann,,,,,,,,,,
FRA,Jean-Marc Noclain,,,,,,,,,,
FRA,Jean-Marc Paquotte
FRA,Jean-Marie Danielou,,,,,,,,,,
FRA,Jean-Philippe Artielle,,,,,,,,,,
FRA,Jean-Philippe Chartier,,,,,,,,,,
FRA,Jean-Pierre Cordonnier,,,,,,,,,,
FRA,Jean-Pierre Derungs,,,,,,,,,,
FRA,Jean-Pierre Di Pede,,,,,,,,,,
FRA,Jean-Pierre le Roux,,,,,,,,,,
FRA,Jean-Pierre Peter,,,,,,,,,,
FRA,Jeremie Brau,,,,,,,,,,
FRA,Jerom Delvaux,,,,,,,,,,
FRA,Jérôme Bourgoin,,,,,,,,,,
FRA,Jerome Langlois,,,,,,,,,,
FRA,Jerome Legeai,,,,,,,,,,
FRA,Jerome Maupay,,,,,,,,,,
FRA,Jerome Terrasson,,,,,,,,,,
FRA,Jerome Zimmowitch,,,,,,,,,,
FRA,Jessy Bergreen,,,,,,,,,,
FRA,Jordane Lafortune,,,,,,,,,,
FRA,Jules Ducelier,,,,,,,,,,
FRA,Julien Lafortune,,,,,,,,,,
FRA,Julien Letissier,,,,,,,,,,
FRA,Julien Lovadina,,,,,,,,,,
FRA,July-Wormit Mareva,,,,,,,,,,
FRA,Killian Zimmowitch,,,,,,,,,,
FRA,Kleber Valery,,,,,,,,,,
FRA,Lancelot Lippi,,,,,,,,,,
FRA,Laure Dalle,,,,,,,,,,
FRA,Lauren Camusson,,,,,,,,,,
FRA,Lauren Porcher,,,,,,,,,,
FRA,Laurent Camusson,,,,,,,,,,
FRA,Laurent Duquesne,,,,,,,,,,
FRA,Laurent Hay,,,,,,,,,,
FRA,Laurent Lasnier,,,,,,,,,,
FRA,Laurent Michel,,,,,,,,,,
FRA,Lawrence Banahan,,,,,,,,,,
FRA,Lecorgne Pierre,,,,,,,,,,
FRA,Lionel Lesoil,,,,,,,,,,
FRA,Loïc Bleuez,,,,,,,,,,
FRA,Loic Brillaud,,,,,,,,,,
FRA,Louis Claude,,,,,,,,,,
FRA,Louis Gibert,,,,,,,,,,
FRA,Louise Acker,,,,,,,,,,
FRA,Louis-Michel Ces,,,,,,,,,,
FRA,Luc Vocanson,,,,,,,,,,
FRA,Ludovic Pretot,,,,,,,,,,
FRA,Maire Charles,,,,,,,,,,
FRA,Marc Bourdon,,,,,,,,,,
FRA,Marc Desjuzeur,,,,,,,,,,
FRA,Marc Jouany,,,,,,,,,,
FRA,Marc Laurent,,,,,,,,,,
FRA,Marc Pajot,,,,,,,,,,
FRA,Marc Riot,,,,,,,,,,
FRA,Marc Vibert,,,,,,,,,,
FRA,Marcel Buffet,,,,,,,,,,
FRA,Marcel Troupel,,,,,,,,,,
FRA,Marc-Henri Guitteny,,,,,,,,,,
FRA,Marc-Martin Titouan,,,,,,,,,,
FRA,Marie Agnes Catrix,,,,,,,,,,
FRA,Marie Lafortune,,,,,,,,,,
FRA,Marie Nowak,,,,,,,,,,
FRA,Marin Carnot,,,,,,,,,,
FRA,Marine Delagrange,,,,,,,,,,
FRA,Marion Michel,,,,,,,,,,
FRA,Martin Peculier,,,,,,,,,,
FRA,Mathieu Fountaine,,,,,,,,,,
FRA,Mathieu Ingrand,,,,,,,,,,
FRA,Mathis Derungs,,,,,,,,,,
FRA,Matthieu Gougeon,,,,,,,,,,
FRA,Matthieu Guibbal,,,,,,,,,,
FRA,Matthieu Morel
FRA,Maxime Aroux,,,,,,,,,,
FRA,Melissa Ferrois,,,,,,,,,,
FRA,Michel Bonnet,,,,,,,,,,
FRA,Michel Christ,,,,,,,,,,
FRA,Michel Guezou,,,,,,,,,,
FRA,Michel Laugerotte,,,,,,,,,,
FRA,Michel Lavielle,,,,,,,,,,
FRA,Michel Nedelec,,,,,,,,,,
FRA,Michel Rimbert,,,,,,,,,,
FRA,Morgan Aussel,,,,,,,,,,
FRA,Morgane Suquart,,,,,,,,,,
FRA,Muriel Agrapart,,,,,,,,,,
FRA,Muriel Jeanne,,,,,,,,,,
FRA,Nicholas Loday,,,,,,,,,,
FRA,Nicolas Auberger,,,,,,,,,,
FRA,Nicolas Cendron,,,,,,,,,,
FRA,Nicolas Claustres,,,,,,,,,,
FRA,Nicolas Croce,,,,,,,,,,
FRA,Nicolas Fedorenko,,,,,,,,,,
FRA,Nicolas Guillou,,,,,,,,,,
FRA,Nicolas Loday,,,,,,,,,,
FRA,Nicolas Martin,,,,,,,,,,
FRA,Nicolas Michel,,,,,,,,,,
FRA,Nicolas Picquerey,,,,,,,,,,
FRA,Nicolas Vasseur,,,,,,,,,,
FRA,Oliver Ponthieu
FRA,Olivier Magret,,,,,,,,,,
FRA,Olivier Thiberge,,,,,,,,,,
FRA,P Harinkcouck,,,,,,,,,,
FRA,Pascal Aublet
FRA,Pascal Coquelet,,,,,,,,,,
FRA,Pascal Jullian,,,,,,,,,,
FRA,Pascal Rossignol,,,,,,,,,,
FRA,Patrice Hue,,,,,,,,,,
FRA,Patrick Pradeau,,,,,,,,,,
FRA,Patrick Solatges,,,,,,,,,,
FRA,Patrick Wolff,,,,,,,,,,
FRA,Paul Alric,,,,,,,,,,
FRA,Paul Cousin,,,,,,,,,,
FRA,Paul Roche,,,,,,,,,,
FRA,Philip Chervet,,,,,,,,,,
FRA,Philip Toth,,,,,,,,,,
FRA,Philippe Barbier
FRA,Philippe Boite,,,,,,,,,,
FRA,Philippe Chaigne,,,,,,,,,,
FRA,Philippe Chantraine,,,,,,,,,,
FRA,Philippe Claraz,,,,,,,,,,
FRA,Philippe Claude,,,,,,,,,,
FRA,Philippe Dubuc,,,,,,,,,,
FRA,Philippe Duquesne,,,,,,,,,,
FRA,Philippe Lecrite,,,,,,,,,,
FRA,Philippe Leroy,,,,,,,,,,
FRA,Philippe Lucienne,,,,,,,,,,
FRA,Philippe Markt,,,,,,,,,,
FRA,Philippe Nesseler,,,,,,,,,,
FRA,Philippe Noclain,,,,,,,,,,
FRA,Philippe Wirtz,,,,,,,,,,
FRA,Philippe Wolff,,,,,,,,,,
FRA,Phillipe Lanaverre,,,,,,,,,,
FRA,Phillipe le Norment,,,,,,,,,,
FRA,Pierre Bessias,,,,,,,,,,
FRA,Pierre Bories,,,,,,,,,,
FRA,Pierre Chene Yves,,,,,,,,,,
FRA,Pierre de Kergariou,,,,,,,,,,
FRA,Pierre Ducos,,,,,,,,,,
FRA,Pierre Gendry,,,,,,,,,,
FRA,Pierre Guibbal,,,,,,,,,,
FRA,Pierre Jean Gallo,,,,,,,,,,
FRA,Pierre Nesseler,,,,,,,,,,
FRA,Pierre Pénisson,,,,,,,,,,
FRA,Pierre Poullain,,,,,,,,,,
FRA,Pierre Quil,,,,,,,,,,
FRA,Pierre Williot,,,,,,,,,,
FRA,Pierre-Jerome Coulmin,,,,,,,,,,
FRA,Pierre-Yves Partant,,,,,,,,,,
FRA,Raphael Lebouche
FRA,Regis Viateur,,,,,,,,,,
FRA,Remi Tristan,,,,,,,,,,
FRA,Riwanon le Roy,,,,,,,,,,
FRA,Robert Fossard,,,,,,,,,,
FRA,Robert Lehmann,,,,,,,,,,
FRA,Robert Massot,,,,,,,,,,
FRA,Robert Ronnback,,,,,,,,,,
FRA,Roger Chabaud,,,,,,,,,,
FRA,Roland Delsemme,,,,,,,,,,
FRA,Romain Adnot,,,,,,,,,,
FRA,Romain Delmotte,,,,,,,,,,
FRA,Romain Thivilliers,,,,,,,,,,
FRA,Romaric Zimmowitch,,,,,,,,,,
FRA,Ronan Talarmin
FRA,Rose Marie Savio
FRA,Sabine Dechauffour,,,,,,,,,,
FRA,Samuel Carvallo,,,,,,,,,,
FRA,Sebastien Huet,,,,,,,,,,
FRA,Sebastien le Bouteiller,,,,,,,,,,
FRA,Sebastien Rauly,,,,,,,,,,
FRA,Serge Ehrhart,,,,,,,,,,
FRA,Serge Gubri,,,,,,,,,,
FRA,Serge Guillaume,,,,,,,,,,
FRA,Simon Chartier,,,,,,,,,,
FRA,Sophie Biecheler-Fiocconi,,,,,,,,,,
FRA,Stanislas Rault,,,,,,,,,,
FRA,Stephane Aggeri,,,,,,,,,,
FRA,Stephane Boudier,,,,,,,,,,
FRA,Stéphane Fleury,,,,,,,,,,
FRA,Stephane Maisse,,,,,,,,,,
FRA,Stephane Pedron,,,,,,,,,,
FRA,Sylvain Ratouis,,,,,,,,,,
FRA,Sylvan Pellissier,,,,,,,,,,
FRA,Tamara Ritvo,,,,,,,,,,
FRA,Theo Dutrieux,,,,,,,,,,
FRA,Thibault de Monteil,,,,,,,,,,
FRA,Thibault Di Pède,,,,,,,,,,
FRA,Thibault Vincent,,,,,,,,,,
FRA,Thibaut Vincent,,,,,,,,,,
FRA,Thierry Fassio,,,,,,,,,,
FRA,Thierry Gresle,,,,,,,,,,
FRA,Thierry Moreau-Defarges,,,,,,,,,,
FRA,Thierry Rattier,,,,,,,,,,
FRA,Thomas Chartier,,,,,,,,,,
FRA,Thomas Denis,,,,,,,,,,
FRA,Thomas Pype,,,,,,,,,,
FRA,Thomas Soinard,,,,,,,,,,
FRA,Tisserand Mathieu,,,,,,,,,,
FRA,Tom Roussel,,,,,,,,,,
FRA,Tristan Le Jeune
FRA,Valentin Dechauffour,,,,,,,,,,
FRA,Valentin Guerin,,,,,,,,,,
FRA,Valleteau de Moulliac,,,,,,,,,,
FRA,Veronique Brenet,,,,,,,,,,
FRA,Véronique Dousselin,,,,,,,,,,
FRA,Verriez Bruno,,,,,,,,,,
FRA,Vincent Barthélemy
FRA,Vincent Dewaele
FRA,Vincent le Morvan,,,,,,,,,,
FRA,Vincent Sorel,,,,,,,,,,
FRA,Virginie Auger,,,,,,,,,,
FRA,Virginie Laurent,,,,,,,,,,
FRA,Vivien Lucienne,,,,,,,,,,
FRA,Wenceslas Dieuzy,,,,,,,,,,
FRA,Will Froux,,,,,,,,,,
FRA,Wojciech Butkiewicz,,,,,,,,,,
FRA,Xavier Broise,,,,,,,,,,
FRA,Xavier Brotschi,,,,,,,,,,
FRA,Xavier Finet,,,,,,,,,,
FRA,Xavier Tilly,,,,,,,,,,
FRA,Yann Brotschi,,,,,,,,,,
FRA,Yann Ducreux
FRA,Yann le Hegarat,,,,,,,,,,
FRA,Yann Plathier,,,,,,,,,,
FRA,Yoann Lapijover,,,,,,,,,,
FRA,Yves Coltier,,,,,,,,,,
FRA,Yves Niddam,,,,,,,,,,
FRA,Yves Pajot,,,,,,,,,,
FRA,Yves Pottier,,,,,,,,,,
FRA,Yves Treboz,,,,,,,,,,
FRA,Yvon Kergreis,,,,,,,,,,
GBR,Adrian Gibbons,,,,,,,,,,
GBR,Adrian Hewitt,,,,,,,,,,
GBR,Adrian Howe,,,,,,,,,,
GBR,Adrian Lane,,,,,,,,,,
GBR,Adrian Mullis,,,,,,,,,,
GBR,Alan Bailey,,,,,,,,,,
GBR,Alan Draper,,,,,,,,,,
GBR,Alan Montague,,,,,,,,,,
GBR,Alan Terry,,,,,,,,,,
GBR,Alan Vanner,,,,,,,,,,
GBR,Alastair Milton,,,,,,,,,,
GBR,Alex Barry,,,,,,,,,,
GBR,Alex Cherry,,,,,,,,,,
GBR,Alex Cull,,,,,,,,,,
GBR,Alex Davies,,,,,,,,,,
GBR,Alex Elles,,,,,,,,,,
GBR,Alex Jackson,,,,,,,,,,
GBR,Alex Shaw,,,,,,,,,,
GBR,Alistair Barrie,,,,,,,,,,
GBR,Alistair MacLeod,,,,,,,,,,
GBR,Allan Bailey,,,,,,,,,,
GBR,Allan Muir,,,,,,,,,,
GBR,Andrew Booth,,,,,,,,,,
GBR,Andrew Draper,,,,,,,,,,
GBR,Andrew George,,,,,,,,,,
GBR,Andrew Gilmore,,,,,,,,,,
GBR,Andrew Gilmour,,,,,,,,,,
GBR,Andrew Lane,,,,,,,,,,
GBR,Andrew Nolan,,,,,,,,,,
GBR,Andrew Short,,,,,,,,,,
GBR,Andrew Smith,,,,,,,,,,
GBR,Andrew Streeter,,,,,,,,,,
GBR,Andrew Thorp,,,,,,,,,,
GBR,Andrew Wood,,,,,,,,,,
GBR,Andy Couch,,,,,,,,,,
GBR,Andy Duncan,,,,,,,,,,
GBR,Andy Edmonds,,,,,,,,,,
GBR,Andy Gilmour,,,,,,,,,,
GBR,Andy Gray,,,,,,,,,,
GBR,Andy Harrop,,,,,,,,,,
GBR,Andy Hill,,,,,,,,,,
GBR,Andy Parkinson,,,,,,,,,,
GBR,Andy Phillips,,,,,,,,,,
GBR,Andy Tyas,,,,,,,,,,
GBR,Andy Williams,,,,,,,,,,
GBR,Ann Lane,,,,,,,,,,
GBR,Anne Cave-Penney,,,,,,,,,,
GBR,Antony Pusinelli,,,,,,,,,,
GBR,Arthur George,,,,,,,,,,
GBR,B Townsend,,,,,,,,,,
GBR,Barry Evans,,,,,,,,,,
GBR,Barry Middleditch,,,,,,,,,,
GBR,Barry Smith,,,,,,,,,,
GBR,Ben Farren-Price,,,,,,,,,,
GBR,Ben Greenfield,,,,,,,,,,
GBR,Ben McGrane,,,,,,,,,,
GBR,Ben Tucker,,,,,,,,,,
GBR,Bev Moss,,,,,,,,,,
GBR,Bill Barker,,,,,,,,,,
GBR,Bill Goodacre,,,,,,,,,,
GBR,Bill Hooton,,,,,,,,,,
GBR,Bill Masterman,,,,,,,,,,
GBR,Bill Moakes,,,,,,,,,,
GBR,Bill Munnery,,,,,,,,,,
GBR,Bill Oliver,,,,,,,,,,
GBR,Bob Coles,,,,,,,,,,
GBR,Bobbie Johnson,,,,,,,,,,
GBR,Brenda Romans,,,,,,,,,,
GBR,Brett Matthews,,,,,,,,,,
GBR,Brian Newlyn,,,,,,,,,,
GBR,Carl Gibbons,,,,,,,,,,
GBR,Charlie Stewart,,,,,,,,,,
GBR,Chips Howarth,,,,,,,,,,
GBR,Chris Dawson,,,,,,,,,,
GBR,Chris Day,,,,,,,,,,
GBR,Chris Delves,,,,,,,,,,
GBR,Chris Hewkin,,,,,,,,,,
GBR,Chris Lewns,,,1962,,,,,,,
GBR,Chris Ritchie,,,,,,,,,,
GBR,Chris Robinson,,,,,,,,,,
GBR,Chris Romans,,,,,,,,,,
GBR,Chris Stodel,,,,,,,,,,
GBR,Chris Thorne,,,,,,,,,,
GBR,Chris Timmins,,,,,,,,,,
GBR,Christian Diebitsch,,,,,,,,,,
GBR,Christopher Dando,,,,,,,,,,
GBR,Clive Robinson,,,,,,,,,,
GBR,Cohn Hamlet,,,,,,,,,,
GBR,Colin Chamberlain,,,,,,,,,,
GBR,Colin Fry,,,,,,,,,,
GBR,Colin Jarvis,,,,,,,,,,
GBR,Colin Merrett,,,,,,,,,,
GBR,Colin Rawlings,,,,,,,,,,
GBR,Colin Smith,,,,,,,,,,
GBR,Crispin Ensoll,,,,,,,,,,
GBR,Damien Chisholm,,,,,,,,,,
GBR,Damon Smith,,,,,,,,,,
GBR,Dan Johnson,,,,,,,,,,
GBR,Dan Parsons,,,,,,,,,,
GBR,Dan Spratling,,,,,,,,,,
GBR,Daniel Cripps,,,,,,,,,,
GBR,Daniel Hart,,,,,,,,,,
GBR,Daniel Samanjoul,,,,,,,,,,
GBR,Darrel Samanjoul,,,,,,,,,,
GBR,Dave Barnes,,,,,,,,,,
GBR,Dave Chalkley,,,,,,,,,,
GBR,Dave Clarke,,,,,,,,,,
GBR,Dave Fawcett,,,,,,,,,,
GBR,Dave Hughes,,,,,,,,,,
GBR,Dave Parker,,,,,,,,,,
GBR,Dave Poston,,,,,,,,,,
GBR,Dave Sherwin,,,,,,,,,,
GBR,David Allinson,,,,,,,,,,
GBR,David Banks,,,,,,,,,,
GBR,David Barnes,,,,,,,,,,
GBR,David Bayfield,,,,,,,,,,
GBR,David Bell,,,,,,,,,,
GBR,David Booth,,,,,,,,,,
GBR,David Clark,,,,,,,,,,
GBR,David Gibbons,,,,,,,,,,
GBR,David Hitcock,,,,,,,,,,
GBR,David Lucas,,,,,,,,,,
GBR,David Pitman,,,,,,,,,,
GBR,David Revill,,,,,,,,,,
GBR,David Rose,,,,,,,,,,
GBR,David Ryder,,,,,,,,,,
GBR,David Smithwhite,,,,,,,,,,
GBR,David Spragg,,,,,,,,,,
GBR,David Sturrock,,,,,,,,,,
GBR,David Thorpe,,,,,,,,,,
GBR,David Treloar,,,,,,,,,,
GBR,David Wansborough,,,,,,,,,,
GBR,David Williams,,,,,,,,,,
GBR,David Williamson,,,,,,,,,,
GBR,David Wood,,,,,,,,,,
GBR,Debbie Brown,,,,,,,,,,
GBR,Dennis Cartwright,,,,,,,,,,
GBR,Dennis Hyatt,,,,,,,,,,
GBR,Derek Farrant,,,,,,,,,,
GBR,Derek Jarvis,,,,,,,,,,
GBR,Diana Hewitt,,,,,,,,,,
GBR,Dick Howl,,,,,,,,,,
GBR,Dick Rowe,,,,,,,,,,
GBR,Dick Vivers,,,,,,,,,,
GBR,Don Bowles,,,,,,,,,,
GBR,Donald Aitken,,,,,,,,,,
GBR,Donald Sloan,,,,,,,,,,
GBR,Dougal Cram,,,,,,,,,,
GBR,Dougal Henshall,,,,,,,,,,
GBR,Douglas Newberry,,,,,,,,,,
GBR,Dylan Marvelly,,,,,,,,,,
GBR,Eddie Owen,,,,,,,,,,
GBR,Elliott Wells,,,,,,,,,,
GBR,Eric Ironmonger,,,,,,,,,,
GBR,Fergus Duncanson,,,,,,,,,,
GBR,Frank Rainsborough,,,,,,,,,,
GBR,Gareth Kelly,,,,,,,,,,
GBR,Gary Cawthorne,,,,,,,,,,
GBR,Gary Fowler,,,,,,,,,,
GBR,Gary Langdown,,,,,,,,,,
GBR,Geoff Bettle,,,,,,,,,,
GBR,Geoff Carveth,,,,,,,,,,
